freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
3.23-3.4,0.0032-0.0034,kHz,,,,FIXED | MOBILE except aeronautical mobile | Radiolocation,US340,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3.4-3.5,0.0034-0.0035,kHz,,,,AERONAUTICAL MOBILE (R),US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3.5-3.75,0.0035-0.0037,kHz,AMATEUR,5.119,AMATEUR | FIXED | MOBILE,,US340,AMATEUR,US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3.75-4,0.0037-0.0040,kHz,AMATEUR | FIXED | MOBILE except aeronautical mobile (R),5.122 5.125,,,,,,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4-4.063,0.0040-0.0041,kHz,,,,FIXED | MARITIME MOBILE,US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.063-4.438,0.0041-0.0044,kHz,,,,MARITIME MOBILE 5.79A 5.109 5.110 5.130 5.131 5.132 US82,US296 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.438-4.488,0.0044-0.0045,kHz,FIXED | MOBILE except aeronautical | mobile (R) | RADIOLOCATION 5.132A,,FIXED | MOBILE except aeronautical mobile | Radiolocation 5.132A,FIXED | MOBILE except aeronautical mobile (R) | RADIOLOCATION 5.132A,US340,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.488-4.65,0.0045-0.0047,kHz,,,FIXED | MOBILE except aeronautical mobile,FIXED | MOBILE except aeronautical mobile (R),US22 US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.65-4.7,0.0047-0.0047,kHz,,,,AERONAUTICAL MOBILE (R),US282 US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.7-4.75,0.0047-0.0047,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.75-4.85,0.0047-0.0048,kHz,FIXED | MOBILE except aeronautical mobile (R) | BROADCASTING 5.113,,FIXED | BROADCASTING 5.113 | Land mobile,FIXED | MOBILE except aeronautical mobile (R),US340,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.85-4.995,0.0048-0.0050,kHz,,,,FIXED | MOBILE,US340,FIXED,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4.995-5.005,0.0050-0.0050,kHz,,,,STANDARD FREQUENCY AND TIME SIGNAL (5 MHz),US1 US340,,,"Atomic clocks, time receivers (DCF77, WWVB)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.005-5.06,0.0050-0.0051,kHz,,,,FIXED US22,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.06-5.25,0.0051-0.0053,kHz,,,,FIXED US22 | Mobile except aeronautical mobile,US212 US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.25-5.275,0.0053-0.0053,kHz,FIXED | MOBILE except aeronautical mobile | RADIOLOCATION 5.132A,,FIXED | MOBILE except aeronautical mobile | Radiolocation 5.132A,FIXED | MOBILE except aeronautical mobile | RADIOLOCATION 5.132A,US340,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.275-5.45,0.0053-0.0054,kHz,,,,FIXED US22 | Mobile except aeronautical mobile,US23 US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.45-5.48,0.0054-0.0055,kHz,AERONAUTICAL MOBILE (R),,FIXED | AERONAUTICAL MOBILE (OR) | LAND MOBILE,AERONAUTICAL MOBILE (R),5.111 5.115 US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.68-5.73,0.0057-0.0057,kHz,,,,AERONAUTICAL MOBILE (OR),5.111 5.115 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.73-5.9,0.0057-0.0059,kHz,FIXED | MOBILE except aeronautical mobile (R),,FIXED | Mobile except aeronautical mobile (R),FIXED | MOBILE except aeronautical mobile (R),US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5.9-6.2,0.0059-0.0062,kHz,,,,BROADCASTING 5.134,US136 US340,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
6.2-6.525,0.0062-0.0065,kHz,,,,MARITIME MOBILE 5.109 5.110 5.130 5.132 US82,US296 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
6.525-6.685,0.0065-0.0067,kHz,,,,AERONAUTICAL MOBILE (R),US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
6.685-6.765,0.0067-0.0068,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
6.765-7,0.0068-0.0070,kHz,,,,FIXED US22 | MOBILE except aeronautical mobile (R),5.138 US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7-7.2,0.0070-0.0072,kHz,,,,,US340,AMATEUR | AMATEUR-SATELLITE,US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7.2-7.3,0.0072-0.0073,kHz,AMATEUR,5.142,,,US142 US340,AMATEUR,US142 US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7.3-7.4,0.0073-0.0074,kHz,,,,BROADCASTING 5.134,US136 US340,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7.4-7.45,0.0074-0.0075,kHz,FIXED | MOBILE except aeronautical mobile (R),,BROADCASTING,FIXED | MOBILE except aeronautical mobile (R),US142 US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7.45-8.1,0.0075-0.0081,kHz,,,,FIXED US22 | MOBILE except aeronautical mobile (R),US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
8.1-8.195,0.0081-0.0082,kHz,,,,FIXED | MARITIME MOBILE,US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
8.195-8.815,0.0082-0.0088,kHz,,,,MARITIME MOBILE 5.109 5.110 5.132 5.145 US82,5.111 US296 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
8.3-9,0.0083-0.0090,kHz,,,,METEOROLOGICAL AIDS 5.54A,,,,"Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
8.65-9,0.0086-0.0090,kHz,,,,RADIOLOCATION G59,US53,Radiolocation,US53,"Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
8.815-8.965,0.0088-0.0090,kHz,,,,AERONAUTICAL MOBILE (R),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
8.965-9.04,0.0090-0.0090,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9-11.3,0.0090-0.0113,kHz,,,,METEOROLOGICAL AIDS 5.54A | RADIONAVIGATION US18,US2,,,"GPS receivers, GNSS devices; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9-9.2,0.0090-0.0092,kHz,,,,AERONAUTICAL | RADIONAVIGATION 5.337 | RADIOLOCATION G2,5.473A G19,AERONAUTICAL | RADIONAVIGATION 5.337 | Radiolocation,,"GPS receivers, GNSS devices; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.04-9.4,0.0090-0.0094,kHz,FIXED,,FIXED,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.2-9.3,0.0092-0.0093,kHz,,,,MARITIME RADIONAVIGATION | Radiolocation US110 G59,5.472 5.474,MARITIME RADIONAVIGATION | Radiolocation US110,5.472 5.474,"GPS receivers, GNSS devices; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.3-9.5,0.0093-0.0095,kHz,,,,EARTH EXPLORATION- | SATELLITE (active) | RADIOLOCATION G56 | RADIONAVIGATION US475 | SPACE RESEARCH (active) | Meteorological aids,5.427 5.474 5.475A 5.475B US67 US71 US476A,RADIONAVIGATION US475 | Meteorological aids | Earth exploration-satellite (active) | Radiolocation | Space research (active),5.427 5.474 US67 US71 US476A,"GPS receivers, GNSS devices; Satellite phones, VSAT terminals, satellite internet; Radiosondes, weather balloons; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.4-9.9,0.0094-0.0099,kHz,,,,BROADCASTING 5.134,US136 US340,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.5-9.8,0.0095-0.0098,kHz,,,,EARTH EXPLORATION- | SATELLITE (active) | RADIOLOCATION | SPACE RESEARCH (active),,Earth exploration-satellite (active) | Radiolocation | Space research (active),,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.8-9.9,0.0098-0.0099,kHz,,,,RADIOLOCATION | Earth exploration-satellite (active) | Space research (active),,,,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.9-9.995,0.0099-0.0100,kHz,,,,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.9-10,0.0099-0.0100,kHz,,,,RADIOLOCATION,5.479,Radiolocation,5.479,"Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
9.995-10.005,0.0100-0.0100,kHz,,,,STANDARD FREQUENCY AND TIME SIGNAL (10 MHz),5.111 US1 US340,,,"Atomic clocks, time receivers (DCF77, WWVB)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10-10.4,0.0100-0.0104,kHz,EARTH EXPLORATION-SATELLITE | (active) 5.474A 5.474B 5.474C | RADIOLOCATION | Amateur,5.474D 5.479 5.480,EARTH EXPLORATION-SATELLITE | (active) 5.474A 5.474B 5.474C | FIXED | MOBILE | RADIOLOCATION | Amateur,RADIOLOCATION US108 G32,5.479 US128,Amateur | Radiolocation US108,5.479 US128 NG50,"Ham radio transceivers, SDR receivers; Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.005-10.1,0.0100-0.0101,kHz,,,,AERONAUTICAL MOBILE (R),5.111 US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.1-10.15,0.0101-0.0102,kHz,,,,,US247 US340,AMATEUR US247,US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.15-11.175,0.0102-0.0112,kHz,,,,FIXED | Mobile except aeronautical mobile (R),US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.4-10.45,0.0104-0.0104,kHz,RADIOLOCATION | Amateur,5.480,FIXED | MOBILE | RADIOLOCATION | Amateur,,,,,"Ham radio transceivers, SDR receivers; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.5-10.55,0.0105-0.0106,kHz,FIXED | MOBILE | RADIOLOCATION,,,RADIOLOCATION US59,,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.55-10.6,0.0106-0.0106,kHz,,,,,,FIXED,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.6-10.68,0.0106-0.0107,kHz,,,,EARTH EXPLORATION- | SATELLITE (passive) | SPACE RESEARCH (passive),US130 US131 US482,EARTH EXPLORATION- | SATELLITE (passive) | FIXED US482 | SPACE RESEARCH (passive),US130 US131,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.68-10.7,0.0107-0.0107,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),US131 US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.7-10.95,0.0107-0.0109,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) 5.441 | MOBILE except aeronautical mobile,,,,US131 US211,FIXED | FIXED-SATELLITE (space-to-Earth),5.441 US131 US211 NG52 NG527A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
10.95-11.2,0.0109-0.0112,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) 5.484A 5.484B | MOBILE except aeronautical mobile,,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.175-11.275,0.0112-0.0113,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.2-11.45,0.0112-0.0115,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) 5.441 | MOBILE except aeronautical mobile,,,(See previous page),,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.275-11.4,0.0113-0.0114,kHz,,,,AERONAUTICAL MOBILE (R),US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.3-14,0.0113-0.0140,kHz,,,,RADIONAVIGATION US18,US2,,,"GPS receivers, GNSS devices",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.4-11.6,0.0114-0.0116,kHz,,,,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.45-11.7,0.0115-0.0117,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) 5.484A 5.484B | MOBILE except aeronautical mobile,,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.6-12.1,0.0116-0.0121,kHz,,,,BROADCASTING 5.134,US136 US340,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
11.7-12.1,0.0117-0.0121,kHz,FIXED 5.486 | FIXED-SATELLITE (space-to-Earth) | Mobile except aeronautical mobile,5.484A 5.484B 5.488 5.485,FIXED | MOBILE except aeronautical mobile | BROADCASTING | BROADCASTING-SATELLITE 5.492,,,FIXED-SATELLITE (space-to- | Earth) 5.485 5.488 NG143,NG527A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
12.1-12.23,0.0121-0.0122,kHz,,,,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
12.1-12.2,0.0121-0.0122,kHz,FIXED-SATELLITE (space-to-Earth),5.484A 5.484B 5.488 5.485 5.489,,,,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
12.2-12.7,0.0122-0.0127,kHz,FIXED | MOBILE except aeronautical mobile | BROADCASTING | BROADCASTING-SATELLITE 5.492,5.487A 5.488 5.490,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile | BROADCASTING,,,FIXED | BROADCASTING-SATELLITE,5.487A 5.488 5.490,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
12.23-13.2,0.0122-0.0132,kHz,,,,MARITIME MOBILE 5.109 5.110 5.132 5.145 US82,US296 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
12.7-12.75,0.0127-0.0127,kHz,FIXED | FIXED-SATELLITE (Earth-to-space) | MOBILE except aeronautical mobile,,,,,FIXED NG118 | FIXED-SATELLITE (Earth-to-space) | MOBILE,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
12.75-13.25,0.0127-0.0132,kHz,,,,,US251,FIXED NG118 | FIXED-SATELLITE (Earth-to-space) | MOBILE,5.441 NG52 NG57 US251 NG53,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.2-13.26,0.0132-0.0133,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.25-13.4,0.0132-0.0134,kHz,,,,EARTH EXPLORATION- | SATELLITE (active) | AERONAUTICAL | RADIONAVIGATION 5.497 | SPACE RESEARCH (active),5.498A,AERONAUTICAL | RADIONAVIGATION 5.497 | Earth exploration-satellite (active) | Space research (active),,"GPS receivers, GNSS devices; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.26-13.36,0.0133-0.0134,kHz,,,,AERONAUTICAL MOBILE (R),US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.36-13.41,0.0134-0.0134,kHz,,,,RADIO ASTRONOMY,US342 G115,RADIO ASTRONOMY,US342,"Radio telescopes, scientific receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.4-13.65,0.0134-0.0137,kHz,EARTH EXPLORATION-SATELLITE (active) | RADIOLOCATION | SPACE RESEARCH 5.499C 5.499D | Standard frequency and time signal-satellite (Earth-to-space),5.499 5.500 5.501 5.501B,,EARTH EXPLORATION- | SATELLITE (active) | RADIOLOCATION G59 | SPACE RESEARCH 5.499C | Standard frequency and time | signal-satellite (Earth-to-space),5.499D 5.501A 5.501B,Earth exploration-satellite (active) | Radiolocation | Space research | Standard frequency and time | signal-satellite (Earth-to-space),,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Atomic clocks, time receivers (DCF77, WWVB); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.41-13.45,0.0134-0.0135,kHz,,,,FIXED | Mobile except aeronautical mobile (R),US340,FIXED,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
